ids,Datasets,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
1025,analcatdata_germangss_1025.csv,0.7899999999999999,0.052967495273569004,0.7750000000000001,1.1702778228589004e-16,0.8825,0.03129163892586434,0.6950,0.028382310609877313,0.8225000000000001,0.09162878004935641,0.7750000000000001,1.1702778228589004e-16,0.7750000000000001,1.1702778228589004e-16
852,analcatdata_gsssexsurvey_852.csv,0.7733333333333333,0.0450565488313585,,,,,,,,,0.78,0.031841621957571335,0.7737499999999999,0.030872722588071177
966,analcatdata_halloffame_966.csv,0.9276119402985075,0.013647628581438013,0.9,0.023388376663767498,,,,,,,0.9067164179104477,0.003933181169363609,0.9097014925373135,0.011372268110111898
450,analcatdata_lawsuit_450.csv,0.9517094017094017,0.09882579516323847,0.9289173789173789,0.0999148950317706,0.9243589743589744,0.09715997819646878,0.9435897435897436,0.10062265061717224,0.9401709401709402,0.13648478139035308,0.9280626780626781,0.011847079724477344,0.9206552706552706,0.026911391968278256
986,analcatdata_marketing_986.csv,,,,,,,,,,,0.6841591591591591,0.011169406274166871,,
1008,analcatdata_reviewer_1008.csv,,,,,,,,,,,,,,
728,analcatdata_supreme_728.csv,0.9370534573982849,0.17692660217201703,0.76544851912668,0.22698903339331464,0.9148336678221736,0.20417548383864426,0.9368223560177583,0.10499928288702513,0.9558237547892722,0.09059922368161372,0.7603655050781489,0.0006404842124186221,0.7603655050781489,0.0006404842124186221
748,analcatdata_wildcat_748.csv,0.6856617647058824,0.14182104096541945,0.6856617647058824,0.13765097352821057,0.7536764705882353,0.10179686106517248,0.7084558823529411,0.17842606986841628,0.7610294117647058,0.1413197972071164,0.711764705882353,0.027577614076539615,0.711764705882353,0.027577614076539615
45613,appendicitis_test_edsa_45613.csv,error,,,,,,,,,,,,,
1059,ar1_1059.csv,0.8756410256410255,0.09036213375411886,0.8339743589743589,0.09686112145760842,0.8589743589743589,0.09707535633846621,0.8083333333333333,0.16220890356284925,0.8423076923076923,0.0923116491712862,0.9256410256410256,0.02620463199445452,0.9256410256410256,0.02620463199445452
1061,ar4_1061.csv,0.8209090909090909,0.13069356556773587,0.7472727272727272,0.1691984018055541,0.8118181818181819,0.08097772596737111,0.860909090909091,0.10773995151916348,0.7090909090909091,0.12338953376668081,0.7545454545454545,0.10959479587894018,0.8099999999999999,0.10674669862616333
1064,ar6_1064.csv,0.8027272727272727,0.09141776877674024,0.7918181818181818,0.09981157638537026,0.8427272727272728,0.11403364895758702,0.8118181818181819,0.1523642872626583,0.7418181818181818,0.15146665890660752,0.8318181818181818,0.09440257268754676,0.8518181818181819,0.051076564361723115
